Time 10.08s, nodes: 10, transmission: 10000, radiomedium: UDGM, acv: 100.0%, output_dag: true
Time 9.98s, nodes: 10, transmission: 10000, radiomedium: UDGM, acv: 100.0%, output_dag: false
Time 10.18s, nodes: 10, transmission: 10000, radiomedium: UDGM, acv: 100.0%, output_dag: false
Time 10.0s, nodes: 10, transmission: 10000, radiomedium: UDGM, acv: 100.0%, output_dag: false
Time 9.87s, nodes: 10, transmission: 10000, radiomedium: UDGM, acv: 100.0%, output_dag: false
Time 9.91s, nodes: 10, transmission: 10000, radiomedium: UDGM, acv: 100.0%, output_dag: false
Time 5.13s, nodes: 2, transmission: 0, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: true
Time 4.91s, nodes: 2, transmission: 0, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: true
Time 4.9s, nodes: 2, transmission: 0, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: true
Time 4.92s, nodes: 2, transmission: 0, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: true
Time 4.89s, nodes: 2, transmission: 0, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: true
Time 5.02s, nodes: 2, transmission: 0, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: false
Time 4.99s, nodes: 2, transmission: 0, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: false
Time 5.07s, nodes: 2, transmission: 0, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: false
Time 4.97s, nodes: 2, transmission: 0, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: false
Time 5.41s, nodes: 2, transmission: 0, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: false
Time 6.12s, nodes: 2, transmission: 0, radiomedium: UDGM, acv: 100.0%, output_dag: true
Time 5.4s, nodes: 2, transmission: 0, radiomedium: UDGM, acv: 100.0%, output_dag: true
Time 5.55s, nodes: 2, transmission: 0, radiomedium: UDGM, acv: 100.0%, output_dag: true
Time 5.46s, nodes: 2, transmission: 0, radiomedium: UDGM, acv: 100.0%, output_dag: true
Time 6.17s, nodes: 2, transmission: 0, radiomedium: UDGM, acv: 100.0%, output_dag: true
Time 5.57s, nodes: 2, transmission: 0, radiomedium: UDGM, acv: 100.0%, output_dag: false
Time 5.01s, nodes: 2, transmission: 0, radiomedium: UDGM, acv: 100.0%, output_dag: false
Time 5.08s, nodes: 2, transmission: 0, radiomedium: UDGM, acv: 100.0%, output_dag: false
Time 5.04s, nodes: 2, transmission: 0, radiomedium: UDGM, acv: 100.0%, output_dag: false
Time 4.94s, nodes: 2, transmission: 0, radiomedium: UDGM, acv: 100.0%, output_dag: false
